,gameId,storeId,nextvalue,nextdays
253,01c0579a-3b1d-4ca2-b228-1030c6eeb2a9,3,[134.69206],[18.05149]
254,01c2c344-ab3e-413a-8663-ccd9ea85a0b0,1,[107.78702],[14.638236]
255,01c8eb79-dd9d-44e1-8f0e-775b97401ccf,1,[621.74133],[5.9646764]
256,01c916b9-2961-42b5-9e3b-1c5d2ab89810,4,[1599.9843],[9.979311]
257,01c916b9-2961-42b5-9e3b-1c5d2ab89810,5,[2668.882],[10.468058]
258,01c916b9-2961-42b5-9e3b-1c5d2ab89810,3,[768.60266],[16.663694]
259,01ca0b61-0edb-484b-8f94-7f6bcbb996ce,1,[295.3157],[8.03489]
260,01cb0dff-5f01-42cb-9619-53277c997a1e,3,[674.02094],[18.549215]
261,01cb0dff-5f01-42cb-9619-53277c997a1e,4,[249.72571],[6.4551]
262,01cb0dff-5f01-42cb-9619-53277c997a1e,1,[166.43054],[18.15139]
263,01cb4b1a-2929-4681-ad32-0d8a70a7dd35,1,[810.1906],[6.5243807]
264,01cc92f3-5d02-4dba-b6b5-40c72ddfe18f,1,[155.6126],[7.3513026]
265,01d042ea-c462-496b-89a7-9474da78adf4,1,[157.39351],[13.988687]
266,01d306cf-7f99-48e8-8898-15f9fb75d8cf,1,[226.05139],[17.292477]
267,01da4f71-6b2e-4c0e-bbfb-31d881a57b1c,1,[223.08127],[7.314312]
268,01de3a02-7364-4bd9-b402-75a6c339fd62,1,[755.33673],[14.62843]
269,01de8fb2-7d49-4743-b263-121819fd9567,1,[148.79477],[8.598554]
270,01e0dc51-46c1-43c5-ac8a-5e3f94a0661b,1,[204.41554],[13.162069]
271,01e28da7-fda7-4022-a6d3-2b6d74e4a528,1,[115.28903],[11.1024685]
272,01e3e7b3-7f22-49f1-963e-91d947c5f0d8,2,[329.79382],[12.0732155]
273,01e3e7b3-7f22-49f1-963e-91d947c5f0d8,1,[514.0712],[11.066256]
274,01e96e1e-5e9a-495f-b8a3-96baafd20e43,1,[663.12665],[20.27974]
275,01f0487d-9643-40e5-a3d8-c39194fd57b9,1,[125.95519],[10.455531]
276,01f115ca-ad14-4b68-8bd9-032b9fa9f789,1,[1810.6627],[17.52387]
277,01fa0095-6932-4c6a-aaff-98eb9c7772d4,3,[646.6329],[18.057037]
