"gameId","id","date","value","rating","storeId","releasedate","minvalue","maxvalue","beforedate","beforevalue","nextdate","nextvalue"
"2976ed26-1b90-46d3-93af-b5758569e734",5,2019-02-12,99,0.10,1,2016-06-01,49,99,2019-02-05,49,,
"29770a4b-bb3c-49af-a6cd-8f4f2c8ab850",1,2019-01-22,499,0.10,4,2016-08-26,499,499,2019-01-22,499,,
"29770a4b-bb3c-49af-a6cd-8f4f2c8ab850",5,2019-01-22,599,0.10,1,2016-08-26,89,599,2019-01-15,89,,
"29771f62-45a6-4591-a945-fa436cb9683e",1,2018-12-18,499,0.00,1,2018-07-27,499,499,2018-12-18,499,,
"29774b2b-7dc4-4bd1-846a-f32ceec967ec",1,2018-12-18,899,0.70,1,2017-09-07,899,899,2018-12-18,899,,
"29788973-847d-4ef4-b758-a1172ef4cd05",2,2019-01-21,999,0.00,1,2019-01-13,599,999,2019-01-14,599,,
"2978c329-6634-4ffc-b5d8-8c7728cc14f3",1,2019-01-22,1499,0.10,4,2016-10-20,1499,1499,2019-01-22,1499,,
"2978c329-6634-4ffc-b5d8-8c7728cc14f3",7,2019-02-12,1499,0.10,1,2016-10-20,749,1499,2019-02-05,749,,
"297cbd87-2924-40c0-964b-d21db343fcc6",1,2018-12-09,499,0.00,3,1994-04-01,499,499,2018-12-09,499,,
"297d7a15-1f1b-4969-ae1f-307c6e9cedab",2,2019-01-25,999,0.10,4,2016-12-16,599,999,2019-01-22,599,,
"297d7a15-1f1b-4969-ae1f-307c6e9cedab",5,2019-02-12,999,0.10,1,2016-12-16,399,999,2019-02-05,449,,
"297e69a5-94b3-4ded-844e-60138c107734",5,2019-03-01,999,0.00,1,2018-12-11,999,1499,2019-02-12,1499,,
"2983b81b-e5f6-401c-a79f-5c1ebc043ffc",3,2019-01-04,999,0.80,1,2011-06-05,199,999,2018-12-21,199,,
"2987c2ca-b21a-4449-b3ce-c372d1579e73",6,2019-02-26,99,0.10,1,2014-07-24,49,499,2019-02-12,499,,
"298cb6db-311e-466f-95de-3bd8568f5b99",2,2019-01-25,1999,0.43,4,2017-09-27,999,1999,2019-01-22,999,,
"298cb6db-311e-466f-95de-3bd8568f5b99",3,2019-01-04,1999,0.43,2,2017-09-27,999,1999,2018-12-19,999,,
"298cb6db-311e-466f-95de-3bd8568f5b99",5,2019-02-18,1999,0.43,1,2017-09-27,999,1999,2019-02-04,999,,
"298cc97c-b102-4d2d-8b3d-e9a180286dc4",1,2018-12-09,499,0.00,3,2014-07-02,499,499,2018-12-09,499,,
"298cc97c-b102-4d2d-8b3d-e9a180286dc4",5,2019-02-19,499,0.00,1,2014-07-02,74,499,2019-02-09,74,,
"298ee5a7-a121-40e3-aadd-920ce498f53f",3,2019-01-04,99,0.10,1,2017-10-23,54,99,2018-12-22,54,,
"29918654-2ef4-427b-a19a-dc8bff195d03",5,2019-02-12,499,0.00,1,2018-07-10,164,499,2019-02-05,164,,
"2991da4e-d535-4e95-bc07-1e276e748462",1,2018-12-17,1499,0.00,1,2018-03-19,1499,1499,2018-12-17,1499,,
"299cd1fe-770b-45f8-808c-d11f0c5749db",7,2019-02-11,299,0.10,1,2017-08-21,59,299,2019-02-04,74,,
"299cf807-9fac-405b-aa71-d48185fe4727",5,2019-02-19,99,0.67,1,2017-12-28,49,99,2019-02-05,49,,
"299e4265-bbe3-4ddc-94f7-e93202646adb",1,2018-12-18,299,0.00,1,2018-07-21,299,299,2018-12-18,299,,
"299e951e-4711-4b49-821f-37360b8214de",5,2019-02-13,999,0.00,1,2018-09-17,399,999,2019-02-06,399,,
"299eb2b7-c09a-45c6-a8b4-28d4f78eefe5",1,2018-12-09,199,0.10,3,2014-12-19,199,199,2018-12-09,199,,
"299eb2b7-c09a-45c6-a8b4-28d4f78eefe5",8,2019-02-21,99,0.10,1,2014-12-19,75,199,2019-02-12,199,,
"29a06c4f-a123-443e-9576-dbd0d18dd4ce",3,2019-01-04,599,0.40,2,2003-10-20,119,599,2018-12-14,119,,
"29aaffd7-320e-4797-b4f9-4f76e69ae899",3,2019-02-12,199,0.00,1,2018-04-12,169,199,2019-02-05,169,,
"29ac06cd-1c6d-4f10-a529-1cb1e83dadba",1,2018-12-17,299,0.10,1,2015-09-16,299,299,2018-12-17,299,,
"29aedfbd-90db-4c5a-aa4b-a0465679b21d",1,2018-12-18,199,0.00,1,2017-07-27,199,199,2018-12-18,199,,
